building_id	building_name	address	neighborhood	source_url	management_company	building_class	construction_type	rso_status	cat_friendly	package_handling	controlled_access	gym	pool	coworking	conference_room	ev_charging	rooftop	status	notes	last_updated
line-lofts-1737-n-las-palmas-ave	Line Lofts	1737 N Las Palmas Ave, Los Angeles, CA 90028	Hollywood	https://www.thelinelofts.com/	WSI Management, LLC	mid-rise	unknown	unknown	yes	unknown	yes	yes	yes	unknown	unknown	yes	yes	tour_candidate	Line Lofts is one of the more interesting quiet-first possibilities because it is on Las Palmas rather than directly on Hollywood Boulevard, and the official site explicitly calls it a quiet street off Hollywood Boulevard. The building also checks nearly every operational box: in-unit washer and dryer, air conditioning, dishwasher, package handling, controlled access, video patrol, key fob entry, EV charging, concierge-like services, and covered parking. The reasons confidence stays moderate are thin resident review evidence, limited public fee disclosure, and conflicting live-availability signals across listing sources.	2026-03-25
lumina-hollywood-1522-gordon-st	Lumina Hollywood	1522 Gordon St, Los Angeles, CA 90028	Hollywood	https://luminahollywood.com/	Morguard / Morguard Living	high-rise	unknown	unknown	yes	unknown	yes	yes	yes	unknown	unknown	unknown	unknown	tour_candidate	Lumina is stronger than it first looked on paper. Public sources now clearly support 24-hour concierge, controlled access, EV charging, garage parking, stacked in-unit laundry, dishwasher, AC, yoga space, media room, and pet-friendly terms with no pet deposit or weight limit. The main tradeoff is location and future certainty, not missing essentials. Apartments.com rates the area as Busy with a 66 SoundScore, and Urbanize reported in July 2025 that Morguard planned to add 36 apartments by converting office and parking area at the tower. Management signals lean positive but are softer than the strongest candidates because the most visible public resident evidence is split between a small Apartments.com review set and a Chamber listing that aggregates a larger review count without much detail.	2026-03-25
modera-argyle-6220-selma-ave	Modera Argyle	6220 Selma Ave	Selma / Argyle	https://www.moderaargyle.com/		Luxury new			yes	yes	yes	yes	yes		yes		yes	rejected	Migrated from the prior breadth scan. Skip. Lease-up building with aggressive concessions and a noise-enforcement gap; management score 2 and quiet score 3 were already flagged.	2026-03-21
silhouette-apartments-1233-n-highland-ave	Silhouette Apartments	1233 N Highland Ave, Los Angeles, CA 90038	Hollywood	https://silhouettela.com/	Greystar California, Inc. dba Greystar Corp.	mid-rise	unknown	unknown	yes	unknown	yes	yes	no	unknown	yes	yes	yes	tour_candidate	Silhouette is a strong paper fit with in-unit washer and dryer, dishwasher, central AC, controlled access, EV charging, package service, secure underground parking, and detailed fee disclosure. The main tradeoff is that it is a brand-new mixed-use building on Highland with rooftop spa and lounge areas plus ground-floor retail, so real-world quiet and management performance are still lightly evidenced. Apartments.com shows only two renter reviews and the crawler did not expose substantive review text, which keeps management confidence low rather than negative.	2026-03-25
skyview-sunset-1511-n-fairfax-ave	Skyview Sunset	1511 N. Fairfax Ave, Los Angeles, CA 90046	West Hollywood / Fairfax	https://www.skyviewsunset.com/	Not clearly disclosed in retrieved public leasing materials	Luxury			yes	yes	yes	unknown	unknown	unknown	unknown	yes	yes	research_complete	Skyview Sunset has strong essentials on paper: central AC, dishwasher, in-home washer/dryer, pet-friendly terms, digital package lockers, controlled access/gated entry, covered parking, and EV charging are all visible in official or major-listing sources. The issue is quiet. The site is directly tied to Sunset and Fairfax, Urbanize describes a mixed-use project with retail at that corner, and public imagery/text emphasize skyline views and active neighborhood access rather than insulation from traffic. Amenity confidence is only medium because the building appears to offer a rooftop hot tub instead of a full pool and public materials do not show a gym, while Apartments.com also contains a contradictory FAQ saying there is no in-unit laundry even though the same listing and the official site say there is. With no renter reviews yet, this is not a reject, but it is too exposure-sensitive to promote to tour_candidate without unit-specific verification.	2026-03-25
sunset-vine-tower-1480-vine-st	Sunset Vine Tower	1480 Vine St	Hollywood / Vine	https://sunsetvinetower.com/		Luxury high-rise			yes	yes	yes	yes	yes		yes	yes		rejected	Migrated from the prior breadth scan. Skip. Legacy notes already flagged confirmed noise-enforcement failures, a thin maintenance bench, and risky Sunset/Vine exposure.	2026-03-21
aka-8500-sunset-8500-sunset-blvd	The Apartment Residences at AKA	8500 Sunset Boulevard, West Hollywood, CA 90069	West Hollywood / Sunset	https://www.8500sunsetapartments.com/	Korman Communities	Luxury			yes	yes	unknown	yes	yes	unknown	unknown	unknown	unknown	tour_candidate	AKA is the strongest operations-forward building so far. Public official materials and listing platforms align on 24-hour resident services, package handling, valet and included parking, pool deck, private cinema, high-tech fitness center, controlled access, and in-unit laundry. Pricing transparency is also unusually good: the official FAQ discloses trash, metered utilities, pet fee and pet rent, deposit range, parking terms, overnight guest parking, renter’s insurance, and package-delivery workflow. The main caution is quiet. This is directly on the iconic Sunset Strip and shares an address with retail and serviced-residence activity, so location noise risk remains high even though the official site also describes the apartments as offering a tranquil setting and RentCafe shows a strong 4.5 noise score. Management signal is better than average, not perfect. RentCafe has 48 reviews with strong staff and maintenance scores, plus a seven-year resident who still likes the environment, but a few critiques mention staff orientation and a long-running washer issue. On balance, this earns tour_candidate status because the service model, security, and fee transparency are materially stronger than most peers, but the exact unit placement still matters a lot for quiet.	2026-03-25
the-avenue-hollywood-1619-n-la-brea-ave	The Avenue Hollywood	1619 N La Brea Ave, Los Angeles, CA 90028	Hollywood	https://theavenuehollywood.com/	Greystar	high-rise	unknown	unknown	yes	unknown	yes	yes	yes	unknown	unknown	yes	yes	tour_candidate	The Avenue is one of the cleaner fits for your checklist. Public sources support pet-friendly terms, in-unit laundry, dishwasher, AC, concierge, package service, controlled access, video patrol, abundant parking, EV charging, and unusually strong public pricing disclosure through both Greystar and Apartments.com. The main caution is not missing features but mixed long-tail operations signal. Apartments.com shows strong ratings, but Birdeye exposes at least one detailed complaint around hot water, elevator downtime, and understaffed maintenance. Noise also remains a real question because the property sits at La Brea and Hollywood and Apartments.com gives it a Busy 65 SoundScore, even though the building advertises floor-to-ceiling double-paned windows.	2026-03-25
the-baxter-1818-n-cherokee-ave	The Baxter	1818 N Cherokee Ave, Los Angeles, CA 90028	Hollywood	https://thebaxterhollywood.com/	SD Property Management	mid-rise	unknown	unknown	yes	yes	yes	yes	yes	yes	unknown	yes	yes	tour_candidate	The Baxter is a strong paper fit: washer/dryer, dishwasher, AC, secured parcel room, EV charging, rooftop communal work space, bike storage, pool, gym, and pet-friendly policy are all publicly visible. The main problem is evidence depth, not clear failure. Apartments.com shows a very high 4.9/5 blended score, but only two renter reviews are counted and the visible review section is still effectively thin. Quiet risk is not negligible because the building is a short walk from Hollywood/Highland and includes rooftop social amenities, but being on Cherokee rather than directly on Hollywood Boulevard may help. Pricing transparency is only moderate because concessions are public and parking is listed as free on Apartments.com, yet the same page still tells prospects to call for parking-policy details and the official site does not publish a simple fee table.	2026-03-25
the-charlie-weho-7617-santa-monica-blvd	The Charlie WeHo	7617 Santa Monica Blvd, West Hollywood, CA 90046	West Hollywood	https://thecharlieweho.com/	Greystar California, Inc. dba Greystar Corp.	mid-rise	unknown	unknown	yes	unknown	unknown	yes	yes	unknown	unknown	unknown	yes	research_complete	The Charlie looks strong on paper for basics like in-unit laundry, AC, garage parking, rooftop pool, fitness, coworking-style lobby space, and cat-friendly terms. The main problem for your priorities is the Santa Monica Blvd location plus rooftop social space and ground-floor retail, with Apartments.com showing a Busy SoundScore and no renter reviews yet. Greystar management and fee disclosures are visible, but operational confidence is still limited because public resident-review depth remains thin and access-control details are not clearly disclosed on the official site.	2026-03-25
the-crown-8350-santa-monica-blvd	The Crown	8350 Santa Monica Blvd, West Hollywood, CA 90069	West Hollywood / Santa Monica	https://thecrownweho.com/	First Light Property Management	Luxury			yes	yes	yes	yes	unknown	unknown	unknown	unknown	yes	research_complete	The Crown fits many of your functional needs: in-unit washer/dryer, dishwasher, AC, controlled access, key-fob entry, package service or lockers, fitness room, and rooftop work or lounge space are all publicly visible. The tradeoff is that this is an explicitly lively Santa Monica Boulevard building. The official site highlights rooftop views of the activity on Santa Monica and markets the location as vibrant and lively, which is good for walkability but not naturally aligned with a quiet-first search. There is some mitigation because current public floor-plan material references private interior-courtyard exposures and Apartments.com shows at least one available unit listed as north-facing with hill views. Management signal is workable but thin: Apartments.com currently has no renter reviews, while Birdeye aggregates a middling 3.4 from 14 reviews with both a complaint about the lack of a real pool and praise for design and location. This leaves The Crown as a verify-in-person building rather than a confident tour_candidate.	2026-03-25
the-highland-1411-n-highland-ave	The Highland	1411 N Highland Ave, Hollywood, CA 90028	Hollywood	https://www.thehighlandgk.com/	Greystar	unknown			yes		yes	yes	yes	yes	yes	yes	yes	candidate	Current web evidence supports cats, package service, controlled access, business center, conference room, pool, roof terrace and EV charging, which makes this one of the cleaner stage-1 fits. ([Apartments.com][2])	2026-04-05
vantage-hollywood-1710-n-fuller-ave	Vantage Hollywood	1710 N Fuller Ave, Los Angeles, CA 90046	Hollywood	https://www.equityapartments.com/los-angeles/west-hollywood/vantage-apartments	Equity Residential / Equity Apartments	unknown	unknown	unknown	yes	yes	yes	yes	yes	unknown	unknown	yes	yes	tour_candidate	Vantage has some of the stronger operational signals in this set. The official site clearly confirms controlled access, Amazon Hub lockers, EV charging, reserved parking, on-site management, rooftop lounge, pools, and 24-hour fitness, while Apartments.com adds dishwasher and in-unit laundry details plus a visible review history. The main caution is that the building is older and large, the official site says washer and dryer are only in select homes, and the area is still active enough that quiet is a unit-specific question rather than a blanket strength.	2026-03-25
zen-hollywood-1825-n-las-palmas-ave	ZEN Hollywood	1825 N Las Palmas Ave, Los Angeles, CA 90028	Hollywood	https://www.zenhollywoodapts.com/	Vista Associates, Inc.	mid-rise	unknown	unknown	yes	yes	yes	yes	yes	yes	yes	yes	unknown	rejected	Migrated from the prior breadth scan. Skip. Prior notes already described a confirmed floor/ceiling noise defect and a balcony break-in pattern. | Official site and Apartments.com support concierge, business center, conference rooms, package service, EV charging, pool, and fitness center; rooftop amenity is not clearly disclosed in current public materials.	2026-03-22
modera_hollywood	Modera Hollywood	6775 Selma Ave, Los Angeles, CA 90028	Central Hollywood	https://www.moderahollywood.com/	Mill Creek Residential	luxury mid-rise			yes		yes	yes	yes	yes	yes	unknown	yes	candidate	Official and Mill Creek pages confirm pet-friendly status, rooftop decks, conference rooms, package lockers, pools, and a 24-hour fitness studio; 24/7 staffed-lobby coverage was not clearly surfaced. ([Modera Hollywood][1])	2026-04-05
argyle_house	Argyle House	1755 Argyle Ave, Los Angeles, CA 90028	Central Hollywood	https://www.relatedrentals.com/apartment-rentals/los-angeles/hollywood/argyle-house	Related Rentals / Related California	luxury high-rise			yes		yes	yes	yes	unknown	yes	yes	yes	candidate	Related materials confirm an attended lobby, conference rooms, pool/spa, EV charging, and 24/7 package lockers; exact unit noise exposure remains unresolved. ([Related Rentals][2])	2026-04-05
smb_hollywood	SMB Hollywood	6933 Santa Monica Blvd, Los Angeles, CA 90038	Hollywood	https://www.smbhollywood.com/	Onni Properties	luxury mid-rise			yes		unknown	yes	yes	yes	yes	yes	yes	candidate	Official pages confirm co-working space, conference rooms, pool/spa, EV charging, and in-suite W/D, but the amenity page contains stale 'Chicago skyline' copy that should be verified with staff. ([SMB Hollywood][5])	2026-04-05
archer_hollywood	Archer Hollywood	1718 N Las Palmas Ave, Los Angeles, CA 90028	Hollywood	https://archerhwood.com/	Nexen Properties	luxury mid-rise			yes		yes	yes	yes	yes	yes	unknown	yes	candidate	Official amenity and general-info pages are unusually explicit on coworking, rooftop, pool, in-unit W/D, and pet/application fees; no explicit 24/7 staffed-lobby claim surfaced. ([Archer Hollywood Apartments][6])	2026-04-05
empire_at_norton	Empire at Norton	8017 Norton Ave, West Hollywood, CA 90046	West Hollywood	https://www.empirepg.com/properties/norton	Empire Property Group	boutique luxury mid-rise			unknown		unknown	yes	yes	unknown	unknown	yes	yes	candidate	Boutique WeHo option with current 1BR at $4,080; current listing surfaces agree on in-unit W/D and amenity depth, but pet policy still conflicts across sources and must be confirmed before advancing.	2026-04-05
